# Upward Trend     = UD
# Natural Reaction = NN
# Second Reaction  = SN
# Second Rally     = SY
# Natural Rally    = NY
# Downward Trend   = DD
# width = 6

	     US,        BS,        KEY
1939/05/25  SY 48.75,   SY 57.75,  SY 106.5
1939/05/26  SY 49,      SY 58,     SY 107
1939/05/27  SY 49.375,  SY 58.5,   SY 107.875
1939/05/29  NY 50.25,   NY 59.375, NY 109.625
1939/05/31  NY 50.875*, NY 60*,    NY 110.875

1939/06/16  ,          NN 54,
1939/06/28  NN 45,     NN 52.5,    NY 97.5
1939/06/29  NN 43.75,  DD 51,      DD 94.75
1939/06/30  NN 43.625, DD 50.25*,  DD 93.875*

1939/07/13  SY 48.25,  SY 57.25,   SY 105.5
1939/07/17  SY 50.75,  NY 60.375,  NY 111.125
1939/07/18  NY 51.875, NY 62,      NY 113.875
1939/07/21  NY 52.5,   UD 63,      NY 115.5
1939/07/22  UD 54.125, UD 65,      UD 119.125
1939/07/25  UD 55.125*,UD 65.75*,  UD 120.875*

1939/08/04  NN 49.5,   NN 59.5,    NN 109
1939/08/07  NN 49.25,  ,           NN108.75
1939/08/09  ,          NN 59,      NN 108.25
1939/08/10  NN 47.75,  NN 58,      NN 105.75
1939/08/11  NN 47,     ,           NN 105
1939/08/17  NN 46.5,   ,           NN 104.5
1939/08/18  NN 45,     NN 55.125,  NN 100.125
1939/08/21  NN 43.375, NN 53.375,  NN 96.75
1939/08/23  DD 42.625, ,           NN 96
1939/08/24  DD 41.625*,NN 51.875*, DD 93.5*
1939/08/29  NY 48,     NY 60.5,    NY 108.5

1939/09/01  NY 52,     NY 65.5,    NY 117.5
1939/09/02  UD 55.25,  UD 70.375,  UD 125.625
1939/09/05  UD 66.875, UD 85.5,    UD 152.375
1939/09/08  UD 69.75,  UD 87,      UD 156.75
1939/09/09  UD 70,     UD 88.75,   UD 158.75
1939/09/11  UD 78.625, UD 100*,    UD 178.625
1939/09/12  UD 82.75*, ,           UD 182.75*
1939/09/14  NN 76.375, NN 91.75,   NN 168.125
1939/09/16  NN 75.5,   NN 88.375,  NN 163.875
1939/09/18  NN 70.5*,  NN 83.75*,  NN 154.25*
1939/09/19  NY 78,     NY 92.375,  NY 170.375
1939/09/20  NY 80.625, NY 95.625,  NY 176.25
1939/09/28  SN 75.125, SN 89,      SN 164.125
1939/09/29  SN 73.5,   86.75,      SN 160.25

1939/10/04  SN 73,     SN 86.25,  SN 159.25
1939/10/06  SY 78.5,   SY 92.75,  SY 171.25
1939/10/17  SY 78.875, SY 93.875, SY 172.75
1939/10/18  SY 79.25,  ,          SY 173.5

1939/11/03  SN 72.5,   ,
1939/11/08  SN 72.125, SN 86.125, SN 158.25
1939/11/09  NN 70.5*,  NN 83.25,  NN 153.75
1939/11/10  NN 68.75,  NN 81.75,  NN 150.5
1939/11/24  DD 66.875, NN 81,     DD 147.875
1939/11/25  ,          DD 80.75,  DD 147.625
1939/11/29  DD 65.875, DD78.125,  DD 144
1939/11/30  DD 63.625*,DD 77*,    DD 140.625*

1939/12/07  NY 69.75*, NY 84,     NY 153.75
1939/12/14  ,          NY 84.875*,NY 164.625*

1940/01/09  NN 64.25,  NN 78.5,   NN 142.75
1940/01/10  NN 63.75,  ,          NN 142.25
1940/01/11  DD 62,     DD 76.5,   DD 138.5
1940/01/12  DD 60.125, DD 74.125, DD 134.25
1940/01/13  DD 59.625, DD 73.5,   DD 133.125
1940/01/15  DD 57.5,   DD 72,     DD 129.5
1940/01/18  DD 56.875, DD 71.5,   DD 128.375
1940/01/19  ,          DD 71,     DD 127.875
1940/01/22  DD 55.875, DD 70.125, DD 126

1940/02/07  NY 76.375,            ,
1940/02/08  NY 61,     NY 78,     NY 139
1940/02/09  NY 61.75,  NY 79.5,   NY 141.25
1940/02/16  NN 56.125, ,






